"","trarNo","mainTrarNm","ctprvnCd","ctprvnNm","signguCd","signguNm","trarArea","coordNum","coords","stdrDt"
"11","10184","궁동","30","대전광역시","30200","유성구","182351","64","MULTIPOLYGON (((127.347548941697 36.3631768750655, 127.347526577932 36.3631589164868, 127.347504194224 36.3631364521203, 127.347470548862 36.3630869853199, 127.347431172982 36.3630014883744, 127.347405654799 36.3629001808407, 127.347416158435 36.3627559634945, 127.347470252076 36.3623908336531, 127.347518834177 36.3620392372582, 127.347532372361 36.361951334119, 127.34758930026 36.3615974605731, 127.347616406231 36.3614284129419, 127.347994605563 36.3612876353779, 127.348584195348 36.3610786549422, 127.348787290625 36.3610239945388, 127.348940248149 36.3609694796316, 127.349560653074 36.3608009573308, 127.350186756789 36.3606617031537, 127.350261862136 36.360638954682, 127.35098549249 36.3605084232242, 127.351539493979 36.3604414663758, 127.352037948337 36.3604107167183, 127.352556122689 36.3604294712986, 127.353219452147 36.3605176368824, 127.353476033421 36.3605889746064, 127.353537890716 36.3607172088298, 127.353569200067 36.3608658093465, 127.353447534935 36.361064424924, 127.353284463082 36.3613465203951, 127.353149051804 36.3615857287126, 127.353138204061 36.3616510953497, 127.353099816141 36.3617863835947, 127.35309991751 36.3618089125037, 127.353072894237 36.3619937315401, 127.353033230719 36.3624647086747, 127.352995825247 36.3628185272577, 127.35295841945 36.3631723458099, 127.352869567851 36.3638552419999, 127.3528450655 36.363981477591, 127.352758075941 36.3644593524383, 127.352722694361 36.3646441958967, 127.352615111013 36.3648788158288, 127.352385083729 36.3651408304408, 127.352152420997 36.3654366461307, 127.351969472575 36.3656376928875, 127.351795483809 36.365352082492, 127.351765739465 36.3649308737558, 127.351658222455 36.3645594572306, 127.351548556815 36.3643299808354, 127.35147010778 36.3642288293108, 127.351263212092 36.3640582133913, 127.351031872484 36.3640273496818, 127.350719611945 36.3639651812494, 127.350574664198 36.363943075728, 127.350234629608 36.3638990105496, 127.350017318939 36.3638906331158, 127.349618397564 36.3637588740923, 127.349205499851 36.3636158898134, 127.348907059723 36.3635288942767, 127.348756522246 36.3635022969607, 127.34858088531 36.3634690136269, 127.348576828906 36.3631829045103, 127.347607506923 36.3631924758306, 127.347548941697 36.3631768750655)))","2021-06-30"
"12","10185","신성동","30","대전광역시","30200","유성구","280424","11","MULTIPOLYGON (((127.353710878096 36.3953755368405, 127.353255737351 36.3957914135435, 127.348020511771 36.3916163099723, 127.347483267635 36.3885989677153, 127.348520619261 36.3862709531289, 127.349737945595 36.3868261316095, 127.35297678954 36.3883035642211, 127.351088374059 36.3922111478082, 127.353763479036 36.3946814859546, 127.353409026987 36.3951781708931, 127.353710878096 36.3953755368405)))","2021-06-30"
"13","10190","대흥동","30","대전광역시","30140","중구","217095","24","MULTIPOLYGON (((127.422079698854 36.3261249705987, 127.422249178624 36.3255408654702, 127.422517562591 36.3247108423811, 127.422763692642 36.3238854028991, 127.42296604947 36.3232043046951, 127.423102897122 36.3227667536287, 127.423309231094 36.3228246017079, 127.424196256968 36.32313687773, 127.424714905299 36.3232859884119, 127.425752452108 36.3236292606914, 127.426672856587 36.3239323880171, 127.427526278476 36.3242042060202, 127.427994937075 36.3243737569593, 127.428079515835 36.32456720695, 127.427412043629 36.3257230870708, 127.426932234368 36.3265764030118, 127.426479840628 36.3273530198994, 127.425961203338 36.3282380108358, 127.425850836316 36.328423142858, 127.425678482718 36.328473319176, 127.425109279506 36.328250045527, 127.422051713709 36.3271343810249, 127.421871153474 36.3266934423663, 127.422079698854 36.3261249705987)))","2021-06-30"
"14","10191","산성시장","30","대전광역시","30140","중구","146895","30","MULTIPOLYGON (((127.378014475993 36.2868432354962, 127.378095013886 36.2868091876174, 127.379498158046 36.2880889390007, 127.379738578365 36.2883157261723, 127.380243232275 36.2890891419316, 127.380726069368 36.2899527424698, 127.380821538006 36.2901281693461, 127.380500118295 36.2904175658068, 127.379856858321 36.2909107455215, 127.379094499704 36.2915237040969, 127.378667456966 36.2918427174582, 127.378362373218 36.2920599623476, 127.37718938375 36.2911985234301, 127.376424210322 36.2906467010263, 127.376222246447 36.2903138982797, 127.376115203872 36.2900438802469, 127.376086944193 36.2899538509584, 127.376091217415 36.2896834840392, 127.376117214917 36.2893004017216, 127.376194251457 36.2891154186972, 127.376233297563 36.289133319881, 127.376277499894 36.289065592927, 127.376249563653 36.2890431510388, 127.376226956078 36.2889711276211, 127.376481101782 36.2885783180447, 127.376912373787 36.2879821866236, 127.377172229691 36.2876208988559, 127.377537569525 36.2872052080364, 127.377848029221 36.2869519010455, 127.378014475993 36.2868432354962)))","2021-06-30"
"15","10192","선화동_1","30","대전광역시","30140","중구","136748","37","MULTIPOLYGON (((127.419422046455 36.3310524361176, 127.420004031765 36.3300208115742, 127.420288051999 36.3295038961624, 127.420864554747 36.3284925627959, 127.421098822471 36.328045660715, 127.421462977707 36.3274180675017, 127.42185771632 36.3273017802776, 127.422256655377 36.3274490695559, 127.422859279463 36.3276767448814, 127.423350295574 36.3278597526341, 127.42387198901 36.3280516616431, 127.424379763862 36.3282436176162, 127.424722893751 36.3283663138892, 127.425046571663 36.3284958368997, 127.425345070453 36.3286029190626, 127.425529269657 36.328683370981, 127.42554347169 36.3287351379148, 127.425452153254 36.3288390965807, 127.424928174236 36.329255492994, 127.424362717744 36.3297261041301, 127.424038332164 36.3299818323378, 127.423799904981 36.3301719210355, 127.423251007351 36.3306176861659, 127.423090209389 36.3307466704061, 127.422671560785 36.3310793269237, 127.422601855614 36.3310615491702, 127.422339377618 36.33092279239, 127.422083668219 36.3310070509605, 127.421661176925 36.3311437128406, 127.421238659969 36.3312758674651, 127.420882893238 36.3313942687881, 127.420782729508 36.3314081378425, 127.420563020174 36.331456220013, 127.420228320506 36.331349252829, 127.419804342395 36.3312088033593, 127.419436088441 36.3310749162766, 127.419422046455 36.3310524361176)))","2021-06-30"
"16","10193","선화동_2","30","대전광역시","30140","중구","42034","29","MULTIPOLYGON (((127.426606079385 36.3290647957452, 127.427052478915 36.3292321764146, 127.428369316338 36.3297163648223, 127.428489261512 36.3297564889762, 127.42852885622 36.3298689938234, 127.428262536052 36.3300479264333, 127.427813212376 36.3303671929089, 127.427729597485 36.330351720695, 127.427617734717 36.3302620025789, 127.427511710674 36.3302218279263, 127.426919280779 36.330338837747, 127.426618858102 36.3303917242101, 127.426407275736 36.3303969825944, 127.42572789411 36.3303971434796, 127.425524603506 36.330391106231, 127.425492657032 36.330661570786, 127.425442637108 36.3306797716669, 127.425008138212 36.3306542772447, 127.424865443468 36.3305263660622, 127.424680923741 36.3303873381955, 127.424322962539 36.3300979777589, 127.424317296554 36.3300799743915, 127.424583406646 36.3298604986039, 127.425234943158 36.3293467756156, 127.425570385935 36.3290774873512, 127.425842033158 36.3288534832412, 127.425905948609 36.3288307269873, 127.42596999847 36.3288327524216, 127.426606079385 36.3290647957452)))","2021-06-30"
"17","10194","오류동먹자골목","30","대전광역시","30140","중구","65413","26","MULTIPOLYGON (((127.407486917607 36.3211468964193, 127.408992494514 36.3215698292622, 127.409929315198 36.321834730086, 127.411008362498 36.322144194883, 127.411861546142 36.3223845848226, 127.411992785092 36.3224584808224, 127.412037660388 36.322521408736, 127.412046461584 36.3226069898725, 127.4120217126 36.3226656510922, 127.411655779149 36.322964294427, 127.411068073798 36.3234461842741, 127.41044158429 36.3239665037563, 127.410175442341 36.3241836955104, 127.410161333668 36.3241476968717, 127.410138256881 36.3234606319741, 127.410119517387 36.3230709390351, 127.409667785149 36.3229350539817, 127.409263500476 36.322821534638, 127.408061801229 36.3224831833515, 127.407164001887 36.3222271471978, 127.406405595265 36.3220066789771, 127.406243878038 36.321959915225, 127.406553914491 36.3216164191972, 127.406633845629 36.3214606959698, 127.40684282675 36.32095758355, 127.407486917607 36.3211468964193)))","2021-06-30"
"18","10195","은행동","30","대전광역시","30140","중구","147893","27","MULTIPOLYGON (((127.426223409572 36.3283271962944, 127.426819328394 36.3273180181854, 127.427354532294 36.3264104351226, 127.428077153068 36.3251552297397, 127.428347292576 36.3246586208784, 127.42861412309 36.3245765620839, 127.429428531915 36.3248394941471, 127.430756211242 36.3252808123349, 127.431207832034 36.3253873298161, 127.431252724409 36.3254502503712, 127.430716534277 36.3261686084818, 127.43086168087 36.326235674907, 127.431296849891 36.3263873096802, 127.431347286484 36.3264457043917, 127.43079943461 36.3270694817663, 127.430285058543 36.3277066540446, 127.429953446119 36.3281629347588, 127.429676947434 36.3285153824221, 127.429107335577 36.329238358659, 127.428869538368 36.3295411015329, 127.428725002402 36.3295866768937, 127.428351123427 36.3294438256704, 127.427229617226 36.3290377937422, 127.426398282823 36.3287411132655, 127.426124889139 36.3286429562459, 127.426091062599 36.3285664769097, 127.426223409572 36.3283271962944)))","2021-06-30"
"19","10196","태평동","30","대전광역시","30140","중구","112183","22","MULTIPOLYGON (((127.394499269687 36.3161257166996, 127.396377894702 36.3165836289343, 127.396411550601 36.3166330822852, 127.39604340157 36.3176030599157, 127.39584564267 36.3181354050221, 127.395477797258 36.319168461844, 127.395197713996 36.3199398880525, 127.395071261533 36.3202602210676, 127.395026854254 36.3202874025008, 127.393934121586 36.3200071261487, 127.394098875279 36.319551492488, 127.393324018895 36.319369294894, 127.392738652395 36.3192225190191, 127.393156012774 36.3180631439667, 127.392609653045 36.3179207454309, 127.392922822935 36.3170816285813, 127.392722138813 36.3170327211258, 127.392454485351 36.3169524913398, 127.392718017571 36.3162081605257, 127.392843932649 36.3157796906563, 127.392916131005 36.3157434072648, 127.394499269687 36.3161257166996)))","2021-06-30"
"20","10162","동춘당공원","30","대전광역시","30230","대덕구","73797","41","MULTIPOLYGON (((127.439529975818 36.3647043627284, 127.440259492862 36.3641542276282, 127.440306846323 36.3641540536875, 127.440679191527 36.3644861163866, 127.440349082418 36.3647306441531, 127.439564165676 36.3653373057493, 127.439757201936 36.3654852898883, 127.440039882324 36.3657230611222, 127.440043021929 36.3657861311355, 127.439369022992 36.3663045205507, 127.438733862128 36.3667957290488, 127.438450890828 36.3670040323854, 127.437668697036 36.3676061656324, 127.437562855984 36.3676088049752, 127.437299776015 36.3673889797384, 127.437263211204 36.3673260316059, 127.43777362518 36.3669411734707, 127.43827301773 36.3665788825663, 127.438023766469 36.3663409850192, 127.437858587045 36.3661928963383, 127.43756752969 36.3659506447027, 127.437279573819 36.3657647038377, 127.436969699042 36.3656441766388, 127.436417444925 36.3655177726271, 127.436366928908 36.3654503691652, 127.436541779429 36.3648346873305, 127.436700240473 36.3642776406354, 127.436753052095 36.3642571720006, 127.437082080486 36.3643168013172, 127.437452942248 36.364385288711, 127.437795974714 36.3644583824243, 127.437812159421 36.3643637009704, 127.437896736031 36.3640457312987, 127.437967686563 36.3637818812545, 127.437998175883 36.3637547348905, 127.438070724344 36.3637769988998, 127.438305057709 36.3638392238146, 127.438718494731 36.3640494851115, 127.438964551596 36.3642152998056, 127.439166016166 36.3643767715496, 127.439529975818 36.3647043627284)))","2021-06-30"
